model,accuracy,precision_human,recall_human,f1_human,precision_robot,recall_robot,f1_robot,robot_f1,confusion_matrix,device,class_weights
CNN,0.9173410404624277,0.9784560143626571,0.923415791257201,0.950139470013947,0.6651851851851852,0.8821218074656189,0.7584459459459459,0.7584459459459459,"[[2725, 226], [60, 449]]",cuda:0,"[0.5862807756554579, 3.397516835016835]"
LSTM,0.8528901734104046,0.8528901734104046,1.0,0.9206052097956637,0.0,0.0,0.0,0.0,"[[2951, 0], [509, 0]]",cuda:0,"[0.5862807756554579, 3.397516835016835]"
HYBRID,0.988150289017341,0.9938900203665988,0.9922060318536089,0.9930473121926403,0.9552529182879378,0.9646365422396856,0.9599217986314761,0.9599217986314761,"[[2928, 23], [18, 491]]",cuda:0,"[0.5862807756554579, 3.397516835016835]"
LOGISTIC,0.9395953757225434,0.9921033740129217,0.936631650288038,0.9635698100052292,0.7225519287833828,0.9567779960707269,0.8233305156382079,0.8233305156382079,"[[2764, 187], [22, 487]]",cuda:0,"[0.5862807756554579, 3.397516835016835]"
RANDOM_FOREST,0.9765895953757225,0.989093387866394,0.9833954591663843,0.9862361937128292,0.9068441064638784,0.93713163064833,0.9217391304347826,0.9217391304347826,"[[2902, 49], [32, 477]]",cuda:0,"[0.5862807756554579, 3.397516835016835]"
XGBOOST,0.9858381502890173,0.9878950907868191,0.9955947136563876,0.9917299578059072,0.9732510288065843,0.9292730844793713,0.9507537688442211,0.9507537688442211,"[[2938, 13], [36, 473]]",cuda:0,"[0.5862807756554579, 3.397516835016835]"
CATBOOST,0.9846820809248555,0.9868951612903226,0.9952558454761098,0.9910578707609246,0.9710743801652892,0.9233791748526523,0.94662638469285,0.94662638469285,"[[2937, 14], [39, 470]]",cuda:0,"[0.5862807756554579, 3.397516835016835]"
