model,accuracy,precision_human,recall_human,f1_human,precision_robot,recall_robot,f1_robot,confusion_matrix,device,mixed_precision
Torch_cnn,0.9398843930635838,0.9451476793248945,0.986784140969163,0.9655172413793104,0.8970976253298153,0.6679764243614931,0.7657657657657657,"[[2912, 39], [169, 340]]",cuda:0,True
Torch_lstm,0.8528901734104046,0.8528901734104046,1.0,0.9206052097956637,0.0,0.0,0.0,"[[2951, 0], [509, 0]]",cuda:0,True
Torch_hybrid,0.9878612716763006,0.9915511997296383,0.9942392409352762,0.9928934010152284,0.9660678642714571,0.9508840864440079,0.9584158415841584,"[[2934, 17], [25, 484]]",cuda:0,True
