feature,real_mean,synthetic_mean,difference,diff_percent,p_value,significant,cohens_d
band_1_energy,1.0025920144353238,1.9416507541753452,-0.9390587397400214,-48.36393659736676,0.0,True,-1.1005496665846823
rms,0.09151194612142927,0.12467954797129785,-0.03316760184986858,-26.602279494068853,0.0,True,-0.700932727614224
mfcc_4_std,12.592077183458647,15.858181215283922,-3.266104031825275,-20.595703804020403,0.0,True,-0.6435549962349506
mfcc_4_mean,11.639744490750937,16.680025176843394,-5.040280686092457,-30.21746449795279,0.0,True,-0.5222451463466423
mfcc_3_std,11.586415838830998,13.775228166862998,-2.188812328032,-15.889481477202741,0.0,True,-0.49091315462415214
mfcc_5_std,10.160754180551235,11.586188555204116,-1.4254343746528804,-12.302875685553397,0.0,True,-0.3593367704989888
mfcc_3_mean,2.659929027570862,-0.12333829273361543,2.7832673203044775,-2256.6124930660076,0.0,True,0.34770394971956325
mfcc_1_mean,-377.12654635758855,-301.5803202260862,-75.54622613150235,25.050118016617446,0.0,True,-0.3237098010259944
mfcc_5_mean,-4.841374219251202,-2.5656685840953193,-2.275705635155883,88.69834745421798,0.0,True,-0.2919796449977736
mfcc_2_mean,30.71112480020945,36.141058445490096,-5.429933645280645,-15.02427952810331,5.253834855362775e-309,True,-0.2699856972199028
jitter,0.10723540571170352,0.04397776035986753,0.06325764535183599,143.8400789179853,3.03416685934067e-269,True,0.25095557364645843
mfcc_2_std,25.56740263118518,27.99603095161048,-2.4286283204253003,-8.67490225530315,1.3766219868971626e-236,True,-0.2353635473780165
bandwidth_mean,775.618104272539,829.5349300979947,-53.9168258254557,-6.499645026289598,7.986719288842717e-168,True,-0.19773096077477753
zero_crossings,0.1900997254749221,0.1655469312506503,0.024552794224271812,14.831319447574504,9.364625680914424e-164,True,0.19499272957867433
f0,228.10321661251305,172.15861040030234,55.944606212210715,32.495967574375804,1.4076108986002313e-162,True,0.19454303474905152
peak,0.8392912036199068,0.891110221871525,-0.051819018251618165,-5.815107601052075,1.3904239415092101e-161,True,-0.19364519115109102
mfcc_1_std,235.44051222104332,213.9886389077485,21.45187331329481,10.024772073312167,7.756910331314834e-82,True,0.13711459035312695
band_4_energy,0.2234723677065066,0.18433185246288714,0.03914051524361947,21.233723146283786,2.384387998690523e-68,True,0.12444620994837913
centroid_std,427.25827484606594,443.33028133482594,-16.072006488759996,-3.625289578768467,3.6771202878538955e-61,True,-0.11797472045221617
band_2_energy,0.4632367018177803,0.4392230456284085,0.02401365618937179,5.4673033263879605,1.092054826013696e-21,True,0.06819736226734968
band_3_energy,0.2544971600972644,0.2707169200142099,-0.016219759916945464,-5.9914097390376195,1.0314727337928863e-12,True,-0.05073840954494507
rolloff_mean,1880.6432386180668,1912.3505477733518,-31.707309155284975,-1.6580280844535418,1.1849120172532829e-07,True,-0.03780427130479648
centroid_mean,990.3110588615892,972.9488648484612,17.362194013128033,1.7844919337904201,4.861264996494297e-07,True,0.035899924599483324
duration,5.0,5.0,0.0,0.0,,False,0.0
