Модель,Тип,Accuracy,Precision (Human),Recall (Human),F1 (Human),Precision (Robot),Recall (Robot),F1 (Robot),F1 (Weighted),ROC-AUC,Размер модели (MB),Устройство,RAM (оценка),VRAM (оценка),TP,TN,FP,FN
CNN,neural,0.8524133124237672,0.8421052631578947,0.8656977762213273,0.8537385598342255,0.8632067059033351,0.839257846367262,0.851063829787234,0,0,0.64,GPU: NVIDIA GeForce RTX 4060,~2-4 GB,~2-3 GB,4840,4944,767,927
LSTM,neural,0.5024394493814254,0.0,0.0,0.0,0.5024394493814254,1.0,0.6688315453754712,0,0,2.6,GPU: NVIDIA GeForce RTX 4060,~2-4 GB,~2-3 GB,5767,0,5711,0
Hybrid CNN-LSTM,neural,0.5024394493814254,0.0,0.0,0.0,0.5024394493814254,1.0,0.6688315453754712,0,0,0.3,GPU: NVIDIA GeForce RTX 4060,~2-4 GB,~2-3 GB,5767,0,5711,0
Logistic Regression,traditional,0.8623453563338561,0.8533789563729683,0.8734022062686044,0.8632744894427138,0.8716492100124268,0.8513958730709208,0.8614035087719298,0,0,0.0,CPU,~0.5-1 GB,N/A (CPU),4910,4988,723,857
Random Forest,traditional,0.8660916535981878,0.8387987012987013,0.9047452285063912,0.870524808356499,0.8977059044753667,0.8278134211895266,0.8613441587731169,0,0,11.23,CPU,~0.5-1 GB,N/A (CPU),4774,5167,544,993
XGBoost,traditional,0.8871754661090783,0.8683683683683684,0.9113990544563124,0.8893635198633063,0.9077315827862874,0.8631870990116178,0.8848991200782153,0,0,0.45,CPU,~0.5-1 GB,N/A (CPU),4978,5205,506,789
CatBoost,traditional,0.8673985014810943,0.8479813922578502,0.8937138854841534,0.8702472293265132,0.888807473896318,0.8413386509450321,0.8644218777837164,0,0,0.22,CPU,~0.5-1 GB,N/A (CPU),4852,5104,607,915
