Модель,Тип,Accuracy,Precision (Human),Recall (Human),F1 (Human),Precision (Robot),Recall (Robot),F1 (Robot),F1 (Weighted),ROC-AUC,Размер модели (MB),Устройство,RAM (оценка),VRAM (оценка),TP,TN,FP,FN
CNN,neural,0.8630423418714062,0.8452043369474562,0.8872351602171249,0.8657098923628909,0.882546051431698,0.8390844459857811,0.8602666666666666,0,0,0.64,cuda:0,~2-4 GB,~2-3 GB,4839,5067,644,928
LSTM,neural,0.5024394493814254,0.0,0.0,0.0,0.5024394493814254,1.0,0.6688315453754712,0,0,2.62,cuda:0,~2-4 GB,~2-3 GB,5767,0,5711,0
Hybrid CNN-LSTM,neural,0.5024394493814254,0.0,0.0,0.0,0.5024394493814254,1.0,0.6688315453754712,0,0,0.3,cuda:0,~2-4 GB,~2-3 GB,5767,0,5711,0
Logistic Regression,traditional,0.8822094441540338,0.8795054849381856,0.8844335492908423,0.8819626331412607,0.8849171752397559,0.8800069360152593,0.8824552251782298,0,0,0.0,CPU,~0.5-1 GB,N/A (CPU),5075,5051,660,692
Random Forest,traditional,0.894232444676773,0.8803924885806124,0.9112239537734197,0.8955429358113922,0.9089276091252021,0.8774059302930467,0.8928886536086112,0,0,10.68,CPU,~0.5-1 GB,N/A (CPU),5060,5204,507,707
XGBoost,traditional,0.8871754661090783,0.8683683683683684,0.9113990544563124,0.8893635198633063,0.9077315827862874,0.8631870990116178,0.8848991200782153,0,0,0.45,CPU,~0.5-1 GB,N/A (CPU),4978,5205,506,789
CatBoost,traditional,0.903728872625893,0.8973429951690821,0.9106986517247417,0.903971495611367,0.9102428722280888,0.8968267730189007,0.9034850205258101,0,0,0.22,CPU,~0.5-1 GB,N/A (CPU),5172,5201,510,595
