iter	Logloss
0	0.6204434552
1	0.5652094837
2	0.5147495622
3	0.4768752044
4	0.4474691549
5	0.4259860547
6	0.4055853682
7	0.3901166084
8	0.3766055772
9	0.3664181312
10	0.3559684794
11	0.347516899
12	0.3395708881
13	0.3338030855
14	0.3276636746
15	0.3222126519
16	0.3171795573
17	0.3129029787
18	0.3092786255
19	0.3053675139
20	0.3017477042
21	0.2992439337
22	0.2969405158
23	0.294729493
24	0.2925997409
25	0.2905265765
26	0.2884782078
27	0.2868255606
28	0.285038346
29	0.2835420293
30	0.281920907
31	0.2805136021
32	0.2791280152
33	0.277657863
34	0.2765352683
35	0.2752036437
36	0.2740456033
37	0.2732381669
38	0.2722768767
39	0.2706440692
40	0.2695149568
41	0.2682257374
42	0.2673046301
43	0.2666581858
44	0.2660870466
45	0.2651321844
46	0.2642262694
47	0.2634442723
48	0.2626694332
49	0.2618107402
50	0.2613059064
51	0.2603583044
52	0.2596099617
53	0.2590896091
54	0.2583547044
55	0.2578227704
56	0.2572943528
57	0.256555346
58	0.255873324
59	0.2551894307
60	0.2545236805
61	0.2538315069
62	0.2533490129
63	0.2527503235
64	0.2522162271
65	0.2516220461
66	0.2511279337
67	0.2505520427
68	0.2500645782
69	0.2496170515
70	0.2489895098
71	0.2484477077
72	0.2480893304
73	0.2478337329
74	0.2472976136
75	0.2467767035
76	0.2463264961
77	0.24594596
78	0.2452904367
79	0.2447585733
80	0.2444319005
81	0.2440305373
82	0.2434207863
83	0.2429520324
84	0.24259687
85	0.2421251414
86	0.2417879061
87	0.2413699832
88	0.2409644668
89	0.2407116609
90	0.2403489653
91	0.240067034
92	0.2396121866
93	0.2389831539
94	0.2385995998
95	0.2382084413
96	0.2378076496
97	0.2373032835
98	0.2369122196
99	0.236545521
